uuid,division,collection,title,typeOfResource,genre,date,identifier,location,total
5b82eb60-c5c8-012f-d9cb-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
64402020-c5c8-012f-18a3-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
6c6c84e0-c5c8-012f-c2e8-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
7e19c270-c5c8-012f-d49f-58d385a7bc34,Spencer Collection,Bookbinding : books bequeathed by William Augustus Spencer.,1,1,0,1,0,1,4
972ac3d0-c5c8-012f-faa2-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
aa24e170-c5c8-012f-c399-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
b5aa52e0-c5c8-012f-0d22-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
c0648ef0-c5c8-012f-77bc-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
cb2a48b0-c5c8-012f-f6dd-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
d5fc44a0-c5c8-012f-d15a-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
e11b44c0-c5c8-012f-6942-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
ec3dcde0-c5c8-012f-f307-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
f73001f0-c5c8-012f-3dd8-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
0114af50-c5c9-012f-bd16-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
0c1d5920-c5c9-012f-6e5d-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
16115ec0-c5c9-012f-a02f-58d385a7bc34,Billy Rose Theatre Division,Circle in the Square papers,1,1,0,1,1,1,5
1ea4ff60-c5c9-012f-996d-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
2903c660-c5c9-012f-fd1d-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
328aafb0-c5c9-012f-62f3-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
3bd1d070-c5c9-012f-f2de-58d385a7bc34,Billy Rose Theatre Division,Circle in the Square papers,1,1,0,1,1,1,5
44a6e700-c5c9-012f-b1eb-58d385a7bc34,Billy Rose Theatre Division,Circle in the Square papers,1,1,0,1,1,1,5
4d4f99b0-c5c9-012f-2732-58d385a7bc34,Billy Rose Theatre Division,Circle in the Square papers,1,1,0,1,1,1,5
563b99c0-c5c9-012f-4926-58d385a7bc34,Billy Rose Theatre Division,Circle in the Square papers,1,1,0,1,1,1,5
